FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status,Text time,Text,0-20%,20-40%,40-60%,60-80%,80-100%,first10secs,first30secs,last10secs,last30secs,shortResponse,Interval1,Interval2,Overlap1,Overlap2,Volume1,Volume2,Volume3,Pause1,Pause2,Pause3,TalkLength,Speed1,Speed2,Speed3,Speed4,Speed5,Speed6,Pitch1,Pitch2,Pitch3,Pitch4,cs
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,46,4,10,3,1,2,10,-3,2023/01/09/12:50:08,00:01:30.0,00:01:32.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,2,4.4,0,0,5,2,8.5,5.1,5,1,0,10,1.4,5.1,6.5,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,47,4,10,2,2,2,10,-11,2023/01/09/12:50:08,00:01:32.0,00:01:34.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.8,4.5,0,0,5,2,6.2,4.3,5,0.5,0,10,2.4,2.5,4.3,4.7,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,48,1,7,7,1,2,3,3,2023/01/09/12:50:08,00:01:34.0,00:01:36.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,4,5,0,0,5,2,5.2,5.5,7.2,1,0,5,2.1,5,6.3,7.9,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,49,4,9,3,2,2,9,-5,2023/01/09/12:50:08,00:01:36.0,00:01:38.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,3,3.9,0,0,5,2,4.5,4.4,5,1,0,5,4.3,2.9,5.8,6.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,50,4,10,2,1,2,10,-3,2023/01/09/12:50:08,00:01:38.0,00:01:40.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2.5,5.3,0,0,5,2,7.6,5.3,9.7,1,0,5,4,4.4,4.8,4.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,51,4,10,2,1,2,10,-2,2023/01/09/12:50:08,00:01:40.0,00:01:42.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,2.6,5.3,0,0,5,2,10,0,5,1,0,5,8.2,4.4,4.9,4.2,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,52,4,10,3,1,2,10,0,2023/01/09/12:50:08,00:01:42.0,00:01:44.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,2.7,4.5,0,0,5,2,1.8,5.8,6.1,1,0,5,3.2,5.4,5.2,5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,53,4,10,2,1,2,10,-4,2023/01/09/12:50:08,00:01:44.0,00:01:46.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,1.5,5.4,0,0,5,2,2.1,0,5,1,0,5,5.9,6.4,3.5,6.4,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,54,4,10,2,1,2,10,-2,2023/01/09/12:50:08,00:01:46.0,00:01:48.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,1.7,5.4,0,0,5,2,8.3,6.9,9.4,0.5,0,10,1.3,6.6,4.6,5.5,0
C:\Repo1\script approach-39 (aisin scream investigation)\scream on bus\Bus Driver Appears to be Physical, Violent Toward Girl With Autism.wav,55,4,10,2,1,9,10,-8,2023/01/09/12:50:08,00:01:48.0,00:01:50.0,1,OK,-,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,1.5,5.3,0,0,5,2,4.6,5.3,1.6,1.5,1.4,6,0.9,4.4,5.5,6.1,0
