FileName,Sequence number,Primal emotion,Primal emotion value,Calmness value,Anger value,Joy value,Sadness value,Energy Point,Time,Starting time of the talk,End time of the talk,Channel,Status
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,284,3,10,2,2,10,4,15,2022/12/28/14:05:41,00:12:57.3,00:13:01.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,285,3,10,2,2,10,4,13,2022/12/28/14:05:41,00:13:02.4,00:13:05.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,286,3,7,2,1,7,4,-20,2022/12/28/14:05:41,00:13:05.6,00:13:06.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,287,3,10,2,1,10,4,20,2022/12/28/14:05:41,00:13:06.4,00:13:08.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,288,3,10,2,2,10,4,9,2022/12/28/14:05:41,00:13:08.9,00:13:12.9,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,289,3,7,4,1,7,3,8,2022/12/28/14:05:41,00:13:15.0,00:13:16.5,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,290,3,7,2,1,7,4,3,2022/12/28/14:05:41,00:13:17.2,00:13:17.6,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,291,3,10,4,1,10,3,12,2022/12/28/14:05:41,00:13:18.7,00:13:20.0,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,292,3,10,1,2,10,10,9,2022/12/28/14:05:41,00:13:22.5,00:13:23.2,1,OK
C:\Users\timot\Music\EVGB-input-converted\0986_wav_channel1.wav,293,4,9,2,1,7,9,-2,2022/12/28/14:05:41,00:13:29.5,00:13:30.6,1,OK
